id,created,status,ticket_type,title,pi_name,fundingType,application,hoursLogged,daysOpen
1,1/2/2015 10:17,Closed,HD,Ticket 1,Elvis Daniels,Department Funds,CPTAC,3.644546675,30
2,1/2/2015 12:51,Closed,HD,Ticket 2,Scott Lott,Not billable,RPR-ClinPortal,16.94019668,0
3,1/5/2015 8:58,Closed,HD,Ticket 3,Cassidy Griffith,Department Funds,BioMS,5.378282346,18
4,1/5/2015 9:00,Closed,HD,Ticket 4,Mollie Chang,Department Funds,CIDER,13.9167229,29
5,1/5/2015 9:39,Closed,HD,Ticket 5,Mollie Chang,Department Funds,RPR-ClinPortal,11.22592792,24
6,1/5/2015 9:39,Closed,HD,Ticket 6,Mollie Chang,Department Funds,BioMS,12.91774927,4
7,1/5/2015 9:41,Closed,HD,Ticket 7,Mollie Chang,Department Funds,BioMS,7.044874052,30
8,1/5/2015 10:21,Closed,HD,Ticket 8,Mollie Chang,Department Funds,RPR-ClinPortal,16.93460685,28
9,1/5/2015 10:35,Closed,HD,Ticket 9,Mollie Chang,Department Funds,BioMS,14.12678354,26
10,1/5/2015 10:37,Closed,HD,Ticket 10,Mollie Chang,Department Funds,BioMS,1.340060184,20
11,1/5/2015 10:39,Closed,HD,Ticket 11,Mollie Chang,Department Funds,BioMS,8.075783063,13
12,1/5/2015 10:47,Closed,HD,Ticket 12,Mollie Chang,Department Funds,ClinPortal,5.858136519,18
13,1/5/2015 12:13,Closed,HD,Ticket 13,Mollie Chang,Department Funds,RPR-ClinPortal,4.330842371,27
14,1/5/2015 12:25,Closed,HD,Ticket 14,Mollie Chang,Department Funds,BioMS,12.41218003,2
15,1/5/2015 12:41,Closed,HD,Ticket 15,Mollie Chang,Department Funds,BioMS,19.08320456,4
16,1/5/2015 13:23,Closed,HD,Ticket 16,Mollie Chang,Department Funds,BioMS,6.6300587,7
17,1/5/2015 15:15,Closed,HD,Ticket 17,Mollie Chang,Department Funds,ClinPortal,15.99925559,7
18,1/5/2015 16:29,Closed,HD,Ticket 18,Mollie Chang,Department Funds,ClinPortal,4.036500837,24
19,1/6/2015 9:14,Closed,HD,Ticket 19,Mollie Chang,Department Funds,CIDER,2.429373083,26
20,1/6/2015 9:39,Closed,HD,Ticket 20,Mollie Chang,Department Funds,ClinPortal,16.4648216,23
21,1/6/2015 9:49,Closed,HD,Ticket 21,Mollie Chang,Department Funds,CIDER,12.26839784,9
22,1/6/2015 10:19,Closed,HD,Ticket 22,Mollie Chang,Department Funds,RPR-ClinPortal,17.67948624,6
23,1/6/2015 10:19,Closed,HD,Ticket 23,Mollie Chang,Department Funds,CPTAC,16.55732798,14
24,1/6/2015 10:31,Closed,HD,Ticket 24,Mollie Chang,Department Funds,CPTAC,7.679958757,30
25,1/6/2015 10:41,Closed,HD,Ticket 25,Mollie Chang,Department Funds,BioMS,9.359760624,21
26,1/6/2015 10:41,Closed,HD,Ticket 26,Mollie Chang,Department Funds,CPTAC,16.06153254,13
27,1/6/2015 10:43,Closed,HD,Ticket 27,Mollie Chang,Department Funds,CPTAC,10.0157073,21
28,1/6/2015 11:33,Closed,HD,Ticket 28,Mollie Chang,Department Funds,BioMS,19.61429877,6
29,1/6/2015 14:31,Closed,HD,Ticket 29,Mollie Chang,Department Funds,CPTAC,7.473958654,13
30,1/6/2015 15:03,Closed,HD,Ticket 30,Mollie Chang,Department Funds,BioMS,3.249294698,23
31,1/6/2015 15:05,Closed,HD,Ticket 31,Mollie Chang,Department Funds,BioMS,14.7622515,7
32,1/6/2015 15:11,Closed,HD,Ticket 32,Mollie Chang,Department Funds,BioMS,3.696952559,10
33,1/6/2015 15:43,Closed,HD,Ticket 33,Mollie Chang,Department Funds,CPTAC,12.47970252,12
34,1/6/2015 16:19,Closed,HD,Ticket 34,Mollie Chang,Department Funds,ClinPortal,16.96763627,23
35,1/6/2015 16:29,Closed,HD,Ticket 35,Mollie Chang,Department Funds,ClinPortal,2.786189481,19
36,1/7/2015 9:20,Closed,HD,Ticket 36,Mollie Chang,Department Funds,BioMS,15.79231256,26
37,1/7/2015 9:20,Closed,HD,Ticket 37,Mollie Chang,Department Funds,BioMS,7.95385342,26
38,1/7/2015 10:23,Closed,HD,Ticket 38,Mollie Chang,Department Funds,BioMS,3.931183634,7
39,1/7/2015 11:27,Closed,HD,Ticket 39,Mollie Chang,Department Funds,BioMS,13.36090237,28
40,1/7/2015 11:31,Closed,HD,Ticket 40,Mollie Chang,Department Funds,BioMS,7.762890529,16
41,1/7/2015 13:13,Closed,HD,Ticket 41,Mollie Chang,Department Funds,BioMS,18.16447087,23
42,1/7/2015 13:21,Closed,HD,Ticket 42,Mollie Chang,Department Funds,ClinPortal,4.521978952,18
43,1/7/2015 13:23,Closed,HD,Ticket 43,Mollie Chang,Department Funds,BioMS,10.26592627,24
44,1/7/2015 14:07,Closed,HD,Ticket 44,Mollie Chang,Department Funds,ClinPortal,2.327815239,8
45,1/7/2015 14:31,Closed,HD,Ticket 45,Mollie Chang,Department Funds,BioMS,16.30711275,3
46,1/7/2015 15:09,Closed,HD,Ticket 46,Mollie Chang,Department Funds,BioMS,12.53061029,16
47,1/7/2015 15:25,Closed,HD,Ticket 47,Mollie Chang,Department Funds,BioMS,2.31818016,8
48,1/7/2015 16:05,Closed,HD,Ticket 48,Mollie Chang,Department Funds,BioMS,17.26914455,25
49,1/7/2015 16:16,Closed,HD,Ticket 49,Mollie Chang,Department Funds,BioMS,1.842887389,27
50,1/7/2015 16:50,Closed,HD,Ticket 50,Mollie Chang,Department Funds,BioMS,17.37968266,26
51,1/7/2015 17:05,Closed,HD,Ticket 51,Mollie Chang,Department Funds,BioMS,16.68889199,16
52,1/8/2015 9:38,Closed,HD,Ticket 52,Mollie Chang,Department Funds,CPTAC,12.978542,28
53,1/8/2015 11:19,Closed,HD,Ticket 53,Mollie Chang,Department Funds,BioMS,6.620530671,15
54,1/8/2015 11:38,Closed,HD,Ticket 54,Mollie Chang,Department Funds,BioMS,3.073545375,2
55,1/8/2015 12:11,Closed,HD,Ticket 55,Mollie Chang,Department Funds,BioMS,16.88783238,10
56,1/8/2015 12:57,Closed,HD,Ticket 56,Mollie Chang,Department Funds,BioMS,0.498841786,12
57,1/8/2015 13:49,Closed,HD,Ticket 57,Mollie Chang,Department Funds,CPTAC,15.03015051,26
58,1/8/2015 14:01,Closed,HD,Ticket 58,Mollie Chang,Department Funds,BioMS,14.61410092,16
59,1/8/2015 14:11,Closed,HD,Ticket 59,Mollie Chang,Department Funds,BioMS,2.436863569,22
60,1/8/2015 14:23,Closed,HD,Ticket 60,Mollie Chang,Department Funds,BioMS,6.921532626,7
61,1/8/2015 14:27,Closed,HD,Ticket 61,Mollie Chang,Department Funds,CPTAC,18.28341611,25
62,1/8/2015 14:49,Closed,HD,Ticket 62,Mollie Chang,Department Funds,OpenSpecimen,3.418519852,19
63,1/8/2015 15:43,Completed,CSA,Ticket 63,Mollie Chang,Unknown,ClinPortal,18.38516766,6
64,1/8/2015 15:49,Closed,HD,Ticket 64,Mollie Chang,Department Funds,RPR-ClinPortal,16.10684411,4
65,1/8/2015 15:59,Closed,HD,Ticket 65,Mollie Chang,Department Funds,RPR-ClinPortal,13.92656778,20
66,1/9/2015 9:16,Closed,HD,Ticket 66,Mollie Chang,Department Funds,BioMS,16.21038164,19
67,1/9/2015 9:20,Closed,HD,Ticket 67,Mollie Chang,Department Funds,CPTAC,5.626591544,6
68,1/9/2015 9:25,Closed,HD,Ticket 68,Mollie Chang,Department Funds,BioMS,0.088576046,28
